met_id	pat1_Control	pat2_Control	pat3_Control	pat30_Control	pat31_Control	pat32_Control	pat33_Control	pat34_Control	pat35_Control	pat36_Control	pat4_Control	pat5_Control	pat58_Control	pat59_Control	pat6_Control	pat60_Control	pat61_Control	pat63_Control	pat64_Control	pat65_Control	pat66_Control	pat8_Control	pat62_Control	pat7_Control	pat68_AKT1-high	pat75_AKT1-high	pat78_AKT1-high	pat79_AKT1-high	pat80_AKT1-high	pat82_AKT1-high	pat85_AKT1-high	pat12_AKT1-high	pat14_AKT1-high	pat17_AKT1-high	pat20_AKT1-high	pat22_AKT1-high	pat24_AKT1-high	pat26_AKT1-high	pat40_AKT1-high	pat41_AKT1-high	pat44_AKT1-high	pat47_AKT1-high	pat49_AKT1-high	pat54_AKT1-high	pat57_AKT1-high	BIOCHEMICAL	SUPER_PATHWAY	SUB_PATHWAY	METABOLON_ID	PLATFORM	KEGG_ID	HMDB_ID
met52	NA	NA	83949.4	147249.59	NA	40852.23	59510.35	139430.65	1118279.47	158223.66	117359.94	99782.99	398527.71	NA	197654.41	138860.19	64175.75	122754.84	269409.96	58553.27	295284.68	112575.83	177701.08	115710.65	292382.54	79538.1	NA	111665.52	143022.96	355055.34	166118.83	160671.8	950302.45	110714.94	135559.17	104860.53	230547.73	NA	211300.16	187516.61	109454.72	166278.76	393993.96	138285.27	252604.04	3-aminoisobutyrate	Nucleotide	Pyrimidine metabolism, thymine containing; Valine, leucine and isoleucine metabolism/	1566	GC/MS	C05145	HMDB03911
met53	NA	NA	33978.71	96299.95	34997.72	NA	NA	87561.23	40617.9	36783.85	511733.15	NA	NA	NA	NA	54780.13	74573.81	NA	25875.07	96601.99	34861.34	98768.24	125841.08	NA	NA	NA	NA	31530.27	23996.04	40968.91	NA	63114.34	NA	36551.13	NA	NA	40968.91	NA	58615.31	NA	29098.05	NA	125635.13	NA	NA	3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)	Lipid	Fatty acid, dicarboxylate	31787	LC/MS neg	NA	NA
met54	19726.32	158316.58	118364.42	126325.15	193537.6	251840.33	205370.86	161487.5	209129.42	63589.09	197000.05	159289.85	152310.78	51038.02	157044.77	149811.73	143930.8	206135.39	170637.18	265920.14	152141.55	202527.27	247145.46	160083.33	432832.77	193537.6	134669.31	212920.19	224509.67	156943.21	79001.37	172798.93	190075.15	211441.42	229209.54	198434.96	342962.16	18527.62	131838.16	84042.67	138644.3	356446.75	239531.12	53581.82	332001.66	3-dehydrocarnitine*	Lipid	Carnitine metabolism	32654	LC/MS pos	C02636	HMDB12154
met55	154132.29	210349.85	534515.55	1467262.58	1261883.43	352028.62	300042.69	1173799.36	2173822.13	371421.98	2405875.79	788970.72	223677.3	87892.26	526842.07	590744.95	1246090.54	1370638.68	211849.17	259268.57	1107049.52	2172847.27	2563036.49	574500.91	540565.05	272755.28	265191.76	509705.38	1778434.12	190073.98	252769.44	680902.93	912220.36	1115145.06	402563.67	361645.95	411306.88	178947.61	925122.35	483848.62	1652406.67	261171.49	779212.09	176827.16	255197.46	3-hydroxybutyrate (BHBA)	Lipid	Ketone bodies	542	GC/MS	C01089	HMDB00357
met56	34555.74	NA	183860.21	86921.65	NA	382534.67	363578.45	160996.12	319091.92	NA	131571.24	183600.09	100538.49	NA	38789.06	328017.39	NA	114716.91	99704.92	76051.2	240593.23	118239.98	130680.42	46035.77	61511.64	250845.98	78629.6	NA	107403.83	156493.83	NA	274629.49	180736.7	126656	145251.86	87187	114576.23	NA	NA	117630.31	51828.98	NA	152208.87	NA	115105.68	3-indoxyl sulfate	Amino acid	Tryptophan metabolism	27672	LC/MS neg	NA	HMDB00682
met57	NA	NA	46686.69	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	29655.76	20471.05	NA	NA	NA	17405.76	NA	NA	23049.77	NA	NA	21973.34	NA	NA	22273.23	NA	NA	NA	NA	14729.71	NA	NA	28632.7	NA	NA	3-methylhistidine	Amino acid	Histidine metabolism	15677	LC/MS neg	C01152	HMDB00479
met58	NA	75043.73	373000.05	294105.76	526939.32	298586.49	181597.4	319925.24	678978.91	65385.49	378259.62	1350790.13	462727.08	116133.79	196907.27	599965.08	1121805.39	279187.66	533514.77	357065.92	656747.68	337365.83	279162.02	726449.48	749900.51	620151.56	193395.11	276914.72	487146.71	364435.04	235230.96	403344.65	682209.52	155655.65	437461.16	354094	540147.33	67908.62	230387.63	699041.44	508653.12	798676.8	851767.03	135323.82	339306.14	3-phosphoglycerate	Carbohydrate	Glycolysis, gluconeogenesis, pyruvate metabolism	1414	GC/MS	C00597	HMDB00807
met59	NA	NA	121595.35	NA	NA	405078.96	105444.27	NA	NA	NA	54333.11	108061.43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	187887.03	NA	NA	NA	NA	NA	NA	NA	102827.11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4-acetamidophenol	Xenobiotics	Drug	12032	LC/MS pos	C06804	HMDB01859
met60	NA	NA	155418.36	NA	NA	431020.83	129201	NA	NA	NA	123881.52	35442.17	NA	NA	NA	NA	NA	55516.53	NA	NA	NA	NA	NA	NA	184737.26	NA	NA	NA	NA	NA	NA	NA	32292.76	NA	NA	NA	NA	NA	NA	NA	NA	16757.11	NA	NA	NA	4-acetaminophen sulfate	Xenobiotics	Drug	37475	LC/MS neg	C06804	HMDB01859
met61	NA	NA	NA	NA	NA	NA	NA	21271.06	NA	NA	NA	92660.93	16642.08	NA	131878.69	20510.7	19664.17	NA	NA	NA	33195.34	23935.15	NA	NA	NA	NA	NA	45006.58	24639.51	NA	NA	26028.71	110663.05	NA	NA	NA	18294.96	NA	NA	46672.36	NA	NA	NA	NA	24981.93	4-androsten-3beta,17beta-diol disulfate 1*	Lipid	Sterol/Steroid	37202	LC/MS neg	NA	HMDB03818
met62	NA	4108.743	14053.321	14289.715	30491.385	33429.443	47218.637	8801.168	15286.809	NA	26981.041	13282.588	NA	10076.624	NA	72657.336	NA	NA	NA	52120.405	NA	52434.407	140324.748	25159.738	14729.741	NA	NA	NA	41165.201	16366.515	12273.348	48000.133	30988.939	60196.447	9401.728	10150.831	10585.887	7714.038	20155.888	44386.714	18229.65	89112.144	15915.464	28258.773	18212.771	4-hydroxybutyrate (GHB)	Lipid	Fatty acid, monohydroxy	34585	GC/MS	C00989	HMDB00710
met63	NA	NA	NA	NA	NA	NA	19054.29	NA	30173.07	NA	22212.63	NA	NA	NA	NA	NA	19654.82	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15895.95	NA	NA	NA	NA	NA	NA	14122.89	NA	NA	NA	NA	NA	NA	4-vinylphenol sulfate	Xenobiotics	Benzoate metabolism	36098	LC/MS neg	C05627	HMDB04072
met64	NA	62944.3	NA	NA	76520.06	NA	56680.1	NA	54181.02	56990.09	118116.75	48121.5	54666.5	19752.66	36829.66	NA	NA	NA	62517.85	NA	38812.87	23603.03	213927.12	58884.35	35389.67	80527.57	NA	42088.71	20191.22	277401.97	NA	34765.2	45143.32	31908.96	42652.92	31382.54	97381.72	NA	14511.93	9414.98	NA	60919.39	55495.25	27135.21	19102.87	5-hydroxyindoleacetate	Amino acid	Tryptophan metabolism	437	GC/MS	C05635	HMDB00763
met65	NA	48718.6	74197.72	66918.99	86961.9	58710.24	132752.45	37370.26	60777.46	NA	87523.64	74096.51	84139.87	NA	58160.56	100232.55	50476.08	43023.99	61106.43	118597.36	52666.19	90681.91	113169.68	91080.74	99534.08	51408.68	111699.3	103181.04	93900.95	48181.63	55297.78	171157.64	132911.7	158360.87	119142.74	146473.12	118339.71	90357.52	98770.47	106484.59	61697.43	120012.71	95199.59	85263.03	139778.61	5-methylthioadenosine (MTA)	Amino acid	Polyamine metabolism	1419	LC/MS pos	C00170	HMDB01173
met66	63850.66	223215.31	202706.28	286502.89	259502.45	232441.5	252672.91	243263.1	369790.67	441606.21	225265.66	280013.29	223347.84	172344.04	174723.23	304666.2	228221.49	195890.83	259571.38	183611.14	238029.91	228795.01	313082.34	255586.84	366344.27	311156.27	293810.17	272376.21	564550.81	305620.29	169965.16	541227.44	362984.94	313057.88	398584.25	261834.79	438809.69	76433.16	234872.62	359764.15	279567.78	595856.53	401889.28	96752.68	262810.15	5-oxoproline	Amino acid	Glutathione metabolism	1494	LC/MS pos	C01879	HMDB00267
met67	NA	26599.46	67716.5	61123.65	177331.29	22765.32	150875.23	61451.98	61489.19	17010.49	31163.07	NA	NA	70149.39	52674.03	147456.44	38126.55	NA	NA	124568.85	NA	58801.27	142179.93	NA	53995.95	NA	62445.57	NA	97219.63	44476.05	52747.19	79942.92	NA	116394.44	NA	48641.54	92771.72	NA	57100.26	104775.43	66489.55	85976.86	78546.38	NA	NA	5,6-dihydrouracil	Nucleotide	Pyrimidine metabolism, uracil containing	1559	GC/MS	C00429	HMDB00076
met68	NA	NA	NA	NA	NA	84514.98	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6-phosphogluconate	Carbohydrate	Nucleotide sugars, pentose metabolism	15442	LC/MS neg	C00345	HMDB01316
met69	NA	NA	18790.71	23126.79	30457.28	NA	NA	38092.15	16929.12	32923.93	28834.4	23537.55	NA	26646.07	22593.48	18732.76	29044.74	NA	30755.51	18467.82	NA	28110.94	NA	15928.88	20094.13	21415.6	NA	28383.86	NA	22449.09	NA	37781.34	NA	NA	26646.07	44661.92	NA	NA	24572.84	28719.3	37925.98	30698.07	NA	NA	NA	7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)	Lipid	Sterol/Steroid	36776	LC/MS neg	C17337	HMDB12458
met70	404457.4	2353511.3	2439540.1	2129908.6	3029192.4	3031246	3067944.6	3604413.5	3945000.7	1472470	3377177.8	3637426.6	3376352	1200711.3	3602641.2	3637426.6	5671627.5	3408271.2	3621983.3	3085701.8	4509849.3	4043735.3	2971164.8	3990001.3	5555661	4292211	3005569.1	4159219.7	5459412.7	2942788.7	1805987.8	2909332.4	4375778.5	4571408.8	4699886.7	4338304.6	6593830.6	609479.5	4274951.9	2558592	4869841.1	6049444.4	4157853	1349316.3	2488920.7	acetylcarnitine	Lipid	Carnitine metabolism	32198	LC/MS pos	C02571	HMDB00201
met71	NA	NA	28352.021	16970.767	45682.41	103665.709	60691.444	17463.502	185814.224	50450.836	52434.515	55728.86	140955.707	NA	57267.28	55564.758	99310.517	121324.888	83674.718	NA	103659.239	67508.208	47386.783	59111.653	98964.41	56498.07	86538.662	27938.366	41518.611	41601.954	NA	25111.122	117642.914	22439.901	78027.302	20195.291	59032.553	NA	75534.157	62442.458	60277.074	53504.01	103232.734	19602.749	23216.785	acetylcholine	Lipid	Neurotransmitter	18790	LC/MS pos	C01996	HMDB00895
met72	50689.03	NA	52043.98	84917.11	136625.42	93302.7	159877.05	42722.87	56926.7	70569.84	216781.21	57787.16	124424.44	66879.83	54557.52	39402.48	52819.4	119414.74	118717.71	125743.49	98279.29	130850.39	136300.66	233610.14	298170.85	172923.51	273928.58	238220.69	258132.08	43866.07	67264.09	167275.38	189241.31	135457.27	184946.37	177512.75	342633.29	34129.04	186522.43	110382.63	97537.25	298829.93	139019.51	78629.56	243007.75	adenine	Nucleotide	Purine metabolism, adenine containing	554	LC/MS pos	C00147	HMDB00034
met73	183889.4	209269.85	1030486.11	428885.3	2903773.54	3109256.19	657323.02	442666.84	609805.59	81117.89	2271357.71	893169.52	2903800.44	154326.94	1234744.64	315656.74	1064253.46	3439127.08	2307716.87	434945.02	8443819.57	480185.3	372426.11	13415712.42	4382110.89	3622184.9	2320394.49	3756890.91	3229643.17	517507.46	364783.67	870224.03	892336.06	838491.43	3381684.8	1527221.26	4213131.74	324867.07	705243.71	436624.61	431538.76	2272861.11	4659197.73	1969689.79	2245008.15	adenosine	Nucleotide	Purine metabolism, adenine containing	555	LC/MS pos	C00212	HMDB00050
met74	36642.53	31730.23	192833.39	214637.38	346278.87	648970.72	220628.58	192467.26	186933.53	241578.03	188018.13	144401.62	138700.9	359591.61	227604.13	179565.21	105676.22	164743.19	200175.35	326089.8	215861.33	203169.01	296637.69	268749.98	136139.99	73895.88	77104.74	176458.21	146219.55	265602.12	96991.25	131304.32	81170.85	170406.49	312083.6	356488.82	205261.78	36876.69	282498.98	228881.02	168463.68	97384.72	96571.35	147005.95	46718.93	adenosine 5'-diphosphate (ADP)	Nucleotide	Purine metabolism, adenine containing	3108	LC/MS neg	C00008	HMDB01341
met75	37568.01	499444.77	600500.41	217911.06	202335.33	2926611.51	199899.14	119137.71	243254.49	317068.99	254105.89	391499.2	339620.9	190787.15	319520.14	239197.56	115205.95	296695.33	451002.18	237126.66	364804.71	161151.79	226167.25	345081.85	432460.83	319607.63	231987.21	377607.28	266179.68	386877.23	545736.33	406623.06	712837.4	228498.83	313043.02	385085.95	473075.23	70729.98	235168.89	242652.63	138767.26	396993.11	484722.48	327924.38	374671.32	adenosine 5'-monophosphate (AMP)	Nucleotide	Purine metabolism, adenine containing	32342	LC/MS pos	C00020	HMDB00045
met76	NA	46884.83	111436.96	38031.56	NA	NA	30464.85	31468.85	77942.29	32710.18	77216.53	114015.86	99019.75	22131.37	36324.92	47459.74	75351.89	91917.44	79825	88514.79	97042.29	42604.1	47765.93	106659.07	105867.48	83576.11	19210.94	NA	48781.15	27395.29	28788.21	31175.85	73932.25	NA	67231.27	53435.49	65577.47	NA	31753.35	73651.43	44250.24	55682.11	80989.78	18857.85	20715.2	adenosine 5'-triphosphate (ATP)	Nucleotide	Purine metabolism, adenine containing	33449	LC/MS neg	C00002	HMDB00538
met77	54260.52	33401.36	229800.25	211507.58	52972.88	19948.46	480503.2	286431.81	278374.73	NA	245841.12	271066.47	284700.63	20711.4	138976.81	116854.08	43147.97	185430.72	350325.56	219457.62	437641.08	138126.89	288067.34	364851.11	310785.13	183230.72	227154.61	333712.62	64789.99	52899.09	162508.34	43897.8	378735.49	181179.72	212844.85	359233.37	259080.18	38653.15	193846.83	37255.58	172869.53	158518.87	689242.96	301341.94	109142.99	adenosine 5'diphosphoribose	Cofactors and vitamins	Nicotinate and nicotinamide metabolism	558	LC/MS neg	C00301	HMDB01178
met78	357951.6	6495213.5	699802.1	2393317	1352987.7	1557250.9	1737102.7	2922539.1	1019956.1	2288773.4	1352067.3	2527508.1	1494441.4	4965390	905515.2	1084999.1	1053154.9	1404313.4	1156044.4	1840973.5	1931657.9	925954.8	2011827.3	666002	1638906.4	2501596.6	1782672.8	809339.5	3860133.1	2483351.4	10036331.6	2328868.9	3300989.2	1242474	1226022	2168943.3	2377300.4	2128173.5	1532140.1	1364170.7	854843	2100197.4	1679381.1	1033133.7	3647547.4	adrenate (22:4n6)	Lipid	Long chain fatty acid	32980	LC/MS neg	C16527	HMDB02226
met79	55836.945	69574.44	206143.009	222343.255	73436.093	44716.979	359745.093	182739.847	286910.478	105024.01	821728.057	110368.746	2446534.069	78751.878	1646588.663	83909.583	503968.908	165923.251	1377902.625	1044842.26	147311.805	244219.67	3105516.15	1777786.156	469824.134	186577.784	183963.262	616127.189	201742.823	111742.175	177827.772	121744.774	241151.788	319361.682	1337213.46	172760.09	532611.755	84872.392	2844845.539	187116.43	257909.419	230529.921	350697.277	376719.452	161924.786	agmatine	Amino acid	Polyamine metabolism	15496	GC/MS	C00179	HMDB01432
met80	4333376.7	19390587.2	26904887.3	21015225.2	18612632.6	11664988.3	32004085.3	28952109.8	31572672.9	28649636	27354548.7	30017040	51280674.4	16483977.3	27224334.6	34150126.5	21263342.8	15478125	44212310.1	38703365.5	24499883.6	30665768.7	43788853	38553097	36947635.1	34498238.8	32187508.6	31852071.5	36571661.3	24750037.6	15455732	32676329.1	34572139.4	47863525.7	37129193.7	37095947.1	66082161.8	5415594.4	32088335.9	26421973.3	20792131.7	36158754.8	39786359.7	14099476.1	36995660.6	alanine	Amino acid	Alanine and aspartate metabolism	1126	GC/MS	C00041	HMDB00161
met81	NA	215418.8	42339.38	13756.06	14256.9	NA	NA	NA	NA	NA	NA	24260.6	27005.28	NA	NA	NA	NA	NA	NA	24259.48	NA	NA	21779.78	NA	56312.35	25907.43	23709.28	NA	25806.84	39398.8	NA	18280.61	34647.22	18921.03	NA	17652.65	29156.79	NA	NA	23169.78	NA	47491.12	30840.77	NA	34252.38	alanylleucine	Peptide	Dipeptide	37093	LC/MS pos	NA	NA
met82	NA	32130.14	18839.22	17670.98	29907.07	NA	NA	NA	34838.68	NA	18565.13	NA	49640.8	NA	NA	NA	17142.93	NA	23441.57	23577.13	NA	NA	31651.23	NA	43884.8	21696.51	33619.59	NA	30351.89	NA	18073.06	28577.66	21269.5	21521	NA	36551.73	43360.43	NA	NA	22520	33995.4	52611.68	28992.02	NA	32096.05	alanyltyrosine	Peptide	Dipeptide	37098	LC/MS pos	NA	NA
met83	NA	NA	56359.31	42599.14	75201.4	NA	68114.16	NA	105500.66	NA	NA	49124.56	73599.67	28998.58	136589.84	93767.2	106276.84	NA	134390.74	NA	126683.63	66046.85	56400.89	NA	68433.22	63752.82	53402.42	75108.52	164148.12	58021.64	NA	147409.55	46539.06	NA	NA	30008.95	93320.42	NA	111429.21	NA	72686.6	98281.16	113612.41	NA	27952.18	alpha-hydroxyisovalerate	Amino acid	Valine, leucine and isoleucine metabolism	33937	GC/MS	NA	HMDB00407
met84	NA	8285.638	10755.7	NA	NA	NA	NA	NA	NA	NA	8614.571	NA	10485.215	NA	NA	NA	NA	NA	5354.348	NA	NA	NA	NA	NA	9609.738	NA	11026.185	NA	NA	NA	NA	NA	NA	20506.213	40642.193	NA	NA	NA	NA	NA	NA	12089.777	10734.791	3339.805	NA	alpha-ketoglutarate	Energy	Krebs cycle	33453	GC/MS	C00026	HMDB00208
met85	43285.26	149224.05	137275	NA	72143.16	50557.66	193492.5	107408.91	132357.6	81383.1	257228.27	183706.55	308981.37	NA	167319.51	170259.76	42540.54	90764.33	85168.88	175214.72	71256.47	116130.29	311690.66	126755.57	140420	114792.02	136684.86	122554.17	237878.93	NA	426490.04	55548.27	246893.57	139807.83	147631.51	166443.87	198721.22	72851.48	180760.52	102442.9	149286.28	120074.45	165776.61	301417.99	297209.79	alpha-tocopherol	Cofactors and vitamins	Tocopherol metabolism	1561	GC/MS	C02477	HMDB01893
met86	NA	NA	82276.43	NA	NA	NA	20659.28	NA	NA	NA	NA	NA	26840.17	NA	NA	NA	16732.88	NA	NA	NA	24558.37	22789.62	NA	36654.3	NA	16116.21	NA	NA	43699.97	NA	NA	NA	NA	NA	18248.45	NA	24207.3	NA	NA	20438.81	NA	52295.19	49780.31	NA	NA	anserine	Peptide	Dipeptide derivative	15747	LC/MS neg	C01262	HMDB00194
met87	NA	NA	115699.71	69485.37	NA	206000.15	117464	NA	203780.06	NA	NA	104487.14	117464	NA	52438.15	257349.46	NA	43622.6	NA	110172.18	126203.44	80620.83	136326.7	NA	NA	NA	NA	NA	119640.05	60569.05	NA	NA	NA	152413.01	117464	NA	85744.39	NA	95609.95	NA	79724.94	NA	NA	NA	NA	arabitol	Carbohydrate	Nucleotide sugars, pentose metabolism	15964	GC/MS	C00474	HMDB01851
met88	5317790	40535199	7591955	22988870	11481891	10458087	14714613	6932563	12523814	26710663	8602171	10829667	10885938	23064081	7474865	11110743	4005020	7114776	11317219	9414020	8269650	10855959	21806567	8957772	15909559	12841452	14862121	9581372	18485567	12075613	32866607	13831298	14105387	14862121	18805901	23138339	16039866	18374392	11390528	11712359	8132670	20025285	21956971	10334203	29881354	arachidonate (20:4n6)	Lipid	Long chain fatty acid	1110	LC/MS neg	C00219	HMDB01043
met89	308097.82	531995.25	460318.55	496096.41	537437.73	498614.58	415828.95	444817.64	517720.17	825612.03	477511.37	443892.5	412314.51	637602.73	393618.28	518284.24	499388.97	446045.95	450872.55	461376.55	450329.56	532617.53	417107.32	164559.87	431284	552846.53	418198.17	352256.41	528802.25	628137.43	444841.55	567976.37	494463.04	491709.83	447221.77	363958.06	521400.46	254541.68	432470.25	582562.09	545784.85	502243.92	414248.59	425733.11	446906.75	arginine	Amino acid	Urea cycle; arginine-, proline-, metabolism	1638	LC/MS pos	C00062	HMDB00517
met90	15928.323	623419.893	2706990.019	2008725.12	4130350.76	415145.53	1833613.37	1666382.9	936012.47	337272.71	1969507.174	4943539.164	1756945.546	627720.963	1133746.878	1884319.62	1627794.674	1051601.663	1309643.99	3976674.022	1507773.289	898212.642	2415355.152	1285842.867	444657.909	2320272.407	2353554.928	1496314.555	2790694.379	2859859.723	1234468.855	1050528.437	3047383.815	1260281.823	1197782.363	1804024.844	1803790.134	113553.658	4382360.4	1614727.62	1749186.96	4487729.39	3030802.9	663295.22	3711381.59	ascorbate (Vitamin C)	Cofactors and vitamins	Ascorbate and aldarate metabolism	1640	GC/MS	C00072	HMDB00044
met91	14382.71	127793.18	168552.94	87462.49	74521.14	56342	207527.31	148201.31	231368.26	262542.07	105640	164285.84	250696.59	107618.03	132513.28	298402.19	115459.16	66590.71	125044	136441.48	140689.77	129391.24	173487.78	142611.14	295734.56	168350.36	128568.84	184704.58	188776.39	131964.1	35782.74	254483.56	163802.18	337011.63	206014.24	134888.96	298441.35	26491.54	105176.3	120640.09	59440.21	304235.04	138304.58	81886.76	310148.52	asparagine	Amino acid	Alanine and aspartate metabolism	11398	GC/MS	C00152	HMDB00168
met92	419618.3	4999171.5	5745807.2	9633385.1	2870622.7	4632613.3	3296070	2981743.5	5935640.1	8013623.3	4591660.6	4903748.4	8205453.8	3190452.7	3336798.8	5572287.6	2254378.6	3056237	6241079.4	6620919.6	3694451.6	2687650.6	4591660.6	4441225.9	9979916.3	8164225.4	5929800.5	6054272.3	10102337.9	4966375.3	2332983	3519121.4	4350379.8	4450872.3	4380379.4	5391374.4	6383302.7	281597.9	3778191	4668100	3285810.8	6445833.5	3489741.1	2227273.6	7817911.7	aspartate	Amino acid	Alanine and aspartate metabolism	15996	GC/MS	C00049	HMDB00191
met93	NA	98746.12	NA	24047.13	NA	NA	NA	NA	NA	22450.29	NA	NA	NA	22483.82	NA	NA	NA	NA	NA	19188	NA	NA	20575.37	NA	18941.03	NA	NA	NA	NA	NA	26098.13	17123.84	NA	45338.15	NA	NA	15467.8	NA	NA	NA	NA	25150.99	17981.76	NA	22225.15	aspartylphenylalanine	Peptide	Dipeptide	22175	LC/MS pos	NA	HMDB00706
met94	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	azelate (nonanedioate)	Lipid	Fatty acid, dicarboxylate	18362	LC/MS neg	C08261	HMDB00784
met95	NA	37241.158	147558.89	82231.865	81920.196	59657.619	133956.968	243451.629	559156.973	88061.07	80519.21	141944.437	535785.277	79331.644	64938.041	136433.428	183941.191	99618.04	466944.721	NA	671725.771	177488.867	151164.235	169132.632	338551.059	220063.871	78421.294	39488.04	143953.545	248507.638	28239.685	131358.779	262863.903	115969.286	270311.104	51098.691	246046.017	11089.123	67352.275	192093.552	196671.275	240768.704	513776.119	60483.519	65148.182	beta-alanine	Amino acid	Alanine and aspartate metabolism	55	GC/MS	C00099	HMDB00056
met96	NA	112441.02	NA	41672.39	NA	41177.9	NA	76048.17	112922.44	NA	NA	39751.03	80414.33	53712.16	109685.75	NA	67006.04	NA	NA	74809.28	NA	50295.48	55189.97	113325.45	72831.88	NA	133942.77	NA	86604.39	NA	254511.09	84944.7	79688.05	NA	78039.95	60943.73	98030.97	62090.24	88917.76	NA	NA	93779.38	NA	435823.84	76971.92	beta-hydroxyisovalerate	Amino acid	Valine, leucine and isoleucine metabolism	12129	GC/MS	NA	HMDB00754
met97	65843.58	530216.49	318961.73	337356.71	440820.41	291964.29	423694.94	436292.23	472397.96	192934.7	414355.77	259792.22	280165.71	234998.73	275470.49	352699.42	703546.53	381740.57	353589.22	341730.73	467851.49	445432.64	359298.22	231372.01	390154.51	511486.15	284213.11	458316.64	616017.64	446155.61	312607.9	510797.3	318104.25	485389.31	569730.72	764453.03	481026.01	170068.34	738260.63	339323.15	557272.55	399995.83	552201.69	368992.61	590086.89	betaine	Amino acid	Glycine, serine and threonine metabolism	3141	LC/MS pos	C00719	HMDB00043
met98	57132.92	318988.47	769210.24	288551.25	1000094.96	434551.81	1247799.72	1330860.83	1530443.34	268510.04	1247799.72	987873.96	1004993.67	133949.96	1725368.02	1318888.87	1017388.99	752038.94	1481951.65	1126987.86	961711.59	1598297.82	1247799.72	1638924.41	1864963.77	844034.56	1086017.52	1101732.45	1644268.7	656756.31	546002.7	1202179.89	1615935.99	1858451.47	1011220.12	1273574.29	3242686.57	111275.02	1783534.48	1133074.17	1185452.58	2386618.33	1274647.26	515151.46	727070.83	butyrylcarnitine	Lipid	Fatty acid metabolism (also BCAA metabolism)	32412	LC/MS pos	C02862	HMDB02013
met99	41642.52	115905.48	321065.97	253556.27	358277.93	367399.96	354986.33	333425.93	255369.64	160410.27	251079.49	341309.16	230902.58	158691.97	214830.29	258183.57	169196.16	249479.02	211431.41	353698.26	224033.3	262963.08	404620.29	228368.49	251614.5	237062.72	396740.74	242204.23	262427.49	276144.21	122588.94	241105.91	213249.95	516849.99	221986.47	291417.63	261468.51	36095.03	266598.8	218260.17	231328.01	394595.62	340408.86	120161.34	229872.72	C-glycosyltryptophan*	Amino acid	Tryptophan metabolism	32675	LC/MS pos	NA	NA
met100	NA	NA	53229.81	NA	52552.58	65335.05	69371.59	181037.7	125753.78	43786.95	140578.9	40972.37	53414.78	27145.35	219427.27	171250.56	NA	NA	71816.88	NA	34292.3	26851.53	NA	NA	NA	109398.18	NA	63327.77	NA	43136.24	NA	94130.61	33077.56	NA	73206.27	19999.28	149185.88	NA	NA	316063.66	NA	46476.86	116295.69	NA	NA	caffeine	Xenobiotics	Xanthine metabolism	569	LC/MS pos	C07481	HMDB01847
met101	634414.6	2820364.1	1768443.8	1809154.3	2428746.3	2212901.7	1954857.2	1863690.1	2395200.8	1525113.4	1842959.6	2066652.9	2811221.2	1386718.7	2196719	2362828.1	4122473.5	1720401.4	3315011.3	2471323.8	2498013.8	2339822	1995838.4	2539657.5	3171970.5	2711573	1945660.6	2585109	2697501.7	2436065.4	1997910.1	2511254	2098537.1	2471323.8	3229244.8	2416837.4	3897826.1	835943.8	2448646.7	1815209.5	2273885.7	3763414.1	2861827.5	1613796.3	2740981.1	carnitine	Lipid	Carnitine metabolism	15500	LC/MS pos	C00487	HMDB00062
met102	NA	NA	NA	NA	NA	NA	NA	134724.59	NA	NA	NA	NA	NA	NA	NA	NA	345810.78	NA	NA	NA	NA	173188.57	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	92255.3	NA	NA	NA	NA	49966.35	214171.37	NA	NA	NA	NA	carnosine	Peptide	Dipeptide derivative	1768	LC/MS neg	C00386	HMDB00033
met103	NA	NA	105020.21	NA	28030.24	122957.3	64894.31	27867.54	154562.65	NA	50588.72	NA	35355.66	NA	NA	118348.29	79766.31	NA	17163.85	NA	40127.52	19534.91	NA	NA	27973.67	19347.29	19234.48	NA	25031.86	16085.35	NA	100449.9	NA	31280.29	22266.5	NA	NA	NA	59969.37	NA	NA	NA	40714.57	NA	20637.44	catechol sulfate	Xenobiotics	Benzoate metabolism	35320	LC/MS neg	C00090	NA
